tema,rodada,time,tecnico,mandante,faltas,gols,finalizacoes,escanteios,cartoes_amarelos,posse_bola
futebol,1,Corinthians,Técnico A,Não,19,2,16,4,4,54.01
futebol,2,Corinthians,Técnico A,Sim,16,0,11,4,4,57.15
futebol,3,Corinthians,Técnico A,Não,16,2,15,5,4,46.95
futebol,4,Corinthians,Técnico A,Sim,15,1,12,5,3,56.32
futebol,5,Corinthians,Técnico A,Sim,12,0,11,5,3,39.4
futebol,6,Corinthians,Técnico A,Sim,15,0,8,4,4,49.94
futebol,7,Corinthians,Técnico A,Não,18,1,11,6,6,55.35
futebol,8,Corinthians,Técnico A,Sim,15,1,12,5,4,40.96
futebol,9,Corinthians,Técnico A,Não,15,1,17,5,4,45.04
futebol,10,Corinthians,Técnico A,Não,16,2,11,6,3,40.92
futebol,11,Corinthians,Técnico A,Sim,19,0,13,6,3,50.79
futebol,12,Corinthians,Técnico A,Não,17,1,11,6,4,41.8
futebol,13,Corinthians,Técnico A,Não,15,0,12,6,3,44.08
futebol,14,Corinthians,Técnico A,Não,16,0,11,3,4,55.28
futebol,15,Corinthians,Técnico A,Sim,20,3,14,5,3,47.65
futebol,16,Corinthians,Técnico A,Não,16,0,13,3,3,39.71
futebol,17,Corinthians,Técnico B,Não,19,2,19,6,4,39.64
futebol,18,Corinthians,Técnico B,Não,15,1,9,3,5,44.38
futebol,19,Corinthians,Técnico B,Não,19,4,16,5,4,46.29
futebol,20,Corinthians,Técnico B,Não,14,1,13,6,3,45.15
futebol,21,Corinthians,Técnico B,Sim,13,3,9,7,3,58.26
futebol,22,Corinthians,Técnico B,Não,16,0,13,5,3,54.61
futebol,23,Corinthians,Técnico B,Sim,13,3,11,5,3,61.98
futebol,24,Corinthians,Técnico B,Sim,16,4,18,6,5,52.29
futebol,25,Corinthians,Técnico B,Sim,17,2,13,4,4,54.45
futebol,26,Corinthians,Técnico B,Não,14,1,11,4,3,48.18
futebol,27,Corinthians,Técnico B,Não,11,4,12,6,5,36.87
futebol,28,Corinthians,Técnico B,Sim,15,1,10,6,5,50.34
futebol,29,Corinthians,Técnico B,Sim,18,2,9,8,3,48.82
futebol,30,Corinthians,Técnico B,Sim,12,0,12,5,3,51.4
futebol,31,Corinthians,Técnico B,Sim,14,4,16,6,2,50.03
futebol,32,Corinthians,Técnico B,Não,17,5,13,6,3,43.79
futebol,1,Palmeiras,Técnico Único,Sim,13,4,20,8,3,62.42
futebol,2,Palmeiras,Técnico Único,Não,15,4,21,6,4,50.14
futebol,3,Palmeiras,Técnico Único,Não,10,1,19,6,2,49.08
futebol,4,Palmeiras,Técnico Único,Não,11,0,12,4,3,50.22
futebol,5,Palmeiras,Técnico Único,Não,12,3,18,5,3,50.58
futebol,6,Palmeiras,Técnico Único,Sim,10,0,11,7,3,51.54
futebol,7,Palmeiras,Técnico Único,Sim,15,0,14,7,3,55.55
futebol,8,Palmeiras,Técnico Único,Não,13,2,13,7,4,54.22
futebol,9,Palmeiras,Técnico Único,Não,15,1,13,7,2,57.85
futebol,10,Palmeiras,Técnico Único,Sim,12,2,17,8,3,59.07
futebol,11,Palmeiras,Técnico Único,Sim,13,2,12,7,3,55.57
futebol,12,Palmeiras,Técnico Único,Sim,13,0,11,7,2,56.3
futebol,13,Palmeiras,Técnico Único,Não,13,3,18,7,3,50.77
futebol,14,Palmeiras,Técnico Único,Não,12,1,11,6,2,48.27
futebol,15,Palmeiras,Técnico Único,Sim,13,2,16,7,3,55.17
futebol,16,Palmeiras,Técnico Único,Não,12,2,10,5,3,56.53
futebol,17,Palmeiras,Técnico Único,Sim,12,5,17,7,4,55.96
futebol,18,Palmeiras,Técnico Único,Sim,10,1,15,7,2,52.38
futebol,19,Palmeiras,Técnico Único,Não,11,4,18,8,3,51.99
futebol,20,Palmeiras,Técnico Único,Sim,10,3,12,5,3,51.72
futebol,21,Palmeiras,Técnico Único,Sim,12,1,15,7,2,60.14
futebol,22,Palmeiras,Técnico Único,Não,15,2,15,5,3,45.2
futebol,23,Palmeiras,Técnico Único,Não,11,2,13,6,2,55.11
futebol,24,Palmeiras,Técnico Único,Sim,10,0,12,5,4,58.56
futebol,25,Palmeiras,Técnico Único,Não,13,2,16,4,2,49.58
futebol,26,Palmeiras,Técnico Único,Sim,10,0,13,2,2,59.48
futebol,27,Palmeiras,Técnico Único,Não,14,0,10,3,3,47.12
futebol,28,Palmeiras,Técnico Único,Não,10,1,13,6,3,55.55
futebol,29,Palmeiras,Técnico Único,Sim,9,0,11,5,1,49.82
futebol,30,Palmeiras,Técnico Único,Sim,10,2,16,7,4,63.95
futebol,31,Palmeiras,Técnico Único,Sim,18,0,13,4,2,54.75
futebol,32,Palmeiras,Técnico Único,Sim,16,4,19,6,3,60.34
