tema,lote_id,maquina,turno,temperatura_antes,temperatura_depois,defeitos,espessura_mm,tempo_ciclo_s,vibracao
manufatura,1,M1,dia,81.13,78.31,6,1.867,39.74,3.18
manufatura,2,M1,noite,90.83,88.35,4,1.869,46.95,3.55
manufatura,3,M2,dia,91.48,88.53,6,1.778,38.01,3.66
manufatura,4,M1,noite,81.44,78.42,2,1.889,47.53,2.62
manufatura,5,M2,dia,91.1,90.72,3,1.905,39.41,4.05
manufatura,6,M1,noite,86.7,83.05,5,1.902,47.2,3.56
manufatura,7,M1,dia,86.88,84.11,3,1.874,37.59,2.93
manufatura,8,M1,noite,87.13,83.5,4,1.998,47.1,3.25
manufatura,9,M1,dia,86.67,87.01,1,1.855,32.43,2.91
manufatura,10,M2,noite,80.14,73.82,6,1.772,44.48,3.52
manufatura,11,M1,dia,83.3,80.99,2,1.771,34.57,3.09
manufatura,12,M2,dia,81.13,78.3,7,1.658,44.24,3.9
manufatura,13,M1,dia,78.24,77.05,6,1.822,49.45,2.85
manufatura,14,M2,dia,87.38,86.49,5,1.77,45.83,4.24
manufatura,15,M1,dia,80.29,79.35,4,1.76,48.15,2.87
manufatura,16,M1,noite,76.0,72.69,3,1.977,42.28,3.97
manufatura,17,M1,noite,85.27,83.04,5,1.86,52.3,3.9
manufatura,18,M1,noite,86.81,84.24,3,1.8,46.18,2.86
manufatura,19,M1,dia,83.75,82.33,4,1.846,30.8,2.65
manufatura,20,M1,noite,82.93,80.12,6,1.791,48.34,3.61
manufatura,21,M2,dia,84.58,83.41,2,1.703,48.01,3.35
manufatura,22,M1,noite,81.46,79.71,2,1.88,39.53,2.39
manufatura,23,M2,dia,87.52,86.81,8,1.846,38.64,3.26
manufatura,24,M2,dia,90.38,87.96,1,1.928,39.88,3.94
manufatura,25,M2,dia,84.28,82.66,4,1.739,39.18,3.94
manufatura,26,M2,noite,83.24,79.87,3,1.766,51.57,4.12
manufatura,27,M2,noite,87.35,86.15,3,1.809,41.72,4.63
manufatura,28,M1,noite,85.01,80.21,2,1.821,45.94,2.97
manufatura,29,M1,dia,86.75,85.53,4,1.817,46.21,3.46
manufatura,30,M2,dia,92.47,91.24,3,1.774,36.01,3.91
manufatura,31,M1,noite,84.9,81.7,2,1.837,52.61,3.34
manufatura,32,M1,noite,82.17,78.23,4,1.893,51.66,3.27
manufatura,33,M2,dia,83.3,82.41,4,1.645,49.09,3.31
manufatura,34,M2,dia,82.51,79.39,2,1.877,35.73,4.26
manufatura,35,M1,noite,85.62,82.71,8,1.886,45.59,3.61
manufatura,36,M2,noite,81.29,78.33,5,1.891,43.5,4.46
manufatura,37,M2,dia,90.39,89.8,3,1.804,45.27,4.08
manufatura,38,M2,dia,88.46,86.17,8,1.953,46.9,4.35
manufatura,39,M2,noite,82.43,77.71,4,1.857,49.73,4.54
manufatura,40,M1,dia,78.69,77.34,3,1.804,39.54,3.42
manufatura,41,M2,noite,92.99,88.67,6,1.791,44.2,3.59
manufatura,42,M2,noite,89.77,87.56,5,1.725,43.6,3.19
manufatura,43,M1,dia,80.96,77.76,8,1.815,33.98,2.65
manufatura,44,M2,dia,90.07,88.8,7,1.776,42.91,3.63
manufatura,45,M2,dia,85.91,83.82,5,1.965,40.52,3.89
manufatura,46,M1,noite,82.43,77.26,6,1.843,50.74,3.11
manufatura,47,M2,dia,89.93,85.6,3,1.681,29.14,3.98
manufatura,48,M2,noite,84.25,80.74,7,1.679,48.67,3.72
manufatura,49,M2,dia,85.93,82.68,5,1.935,41.65,3.31
manufatura,50,M1,noite,90.7,86.03,1,1.738,50.05,3.04
manufatura,51,M2,dia,86.62,83.78,2,1.828,41.29,4.6
manufatura,52,M2,dia,88.37,87.83,6,1.805,31.35,4.19
manufatura,53,M2,noite,80.61,76.34,6,1.849,33.23,3.48
manufatura,54,M2,dia,86.59,84.48,3,1.781,43.51,4.74
