tema,cliente_id,dispositivo,campanha,tempo_antes_min,tempo_depois_min,conversao_antes_pct,conversao_depois_pct,ticket_medio,itens_carrinho,satisfacao
ecommerce,1,mobile,B,9.81,9.37,3.03,3.51,112.56,1,7.31
ecommerce,2,desktop,A,6.78,5.57,2.2,2.35,165.91,4,5.15
ecommerce,3,desktop,B,6.15,5.44,2.63,2.98,170.19,1,7.44
ecommerce,4,mobile,B,9.05,8.47,3.87,4.33,151.89,4,6.74
ecommerce,5,mobile,B,7.67,6.91,1.82,2.39,110.73,3,7.27
ecommerce,6,desktop,A,7.04,7.0,2.61,2.86,120.8,3,7.68
ecommerce,7,desktop,A,8.48,8.99,1.96,1.74,109.91,6,7.48
ecommerce,8,mobile,B,9.81,8.79,2.42,2.76,124.65,7,8.07
ecommerce,9,mobile,B,7.78,7.15,2.39,2.89,125.39,4,8.49
ecommerce,10,mobile,B,6.7,4.91,2.94,3.73,123.36,2,8.13
ecommerce,11,desktop,B,8.66,8.16,2.87,3.84,218.09,3,7.51
ecommerce,12,desktop,A,7.29,6.92,2.43,2.74,178.87,2,5.82
ecommerce,13,desktop,A,7.36,7.17,2.21,1.92,209.43,4,5.5
ecommerce,14,mobile,B,12.36,11.94,1.69,2.65,104.76,4,7.9
ecommerce,15,mobile,B,12.8,11.85,1.58,2.26,139.39,1,7.16
ecommerce,16,desktop,A,6.52,6.83,1.54,1.46,197.84,2,7.45
ecommerce,17,mobile,A,9.42,9.17,1.75,1.88,98.31,2,7.06
ecommerce,18,mobile,B,8.89,7.68,2.47,2.73,142.12,1,8.28
ecommerce,19,mobile,B,8.64,7.49,3.55,3.73,126.74,1,7.06
ecommerce,20,desktop,A,6.88,6.78,2.7,2.66,209.76,1,7.37
ecommerce,21,desktop,A,6.52,5.94,2.7,2.8,189.28,3,6.39
ecommerce,22,desktop,B,8.35,8.12,1.79,2.49,185.17,3,6.74
ecommerce,23,mobile,B,7.79,6.8,1.97,2.7,108.01,3,7.58
ecommerce,24,desktop,A,6.16,6.3,2.86,2.8,144.17,2,5.96
ecommerce,25,mobile,A,10.68,10.64,1.59,1.77,128.43,2,8.19
ecommerce,26,desktop,A,7.15,6.96,0.72,0.75,221.47,4,6.26
ecommerce,27,desktop,A,7.85,7.37,2.74,3.25,187.9,1,6.49
ecommerce,28,desktop,B,6.41,5.87,2.59,3.05,127.77,1,7.6
ecommerce,29,desktop,B,7.98,7.28,3.15,3.58,182.26,5,8.5
ecommerce,30,mobile,B,9.38,8.2,3.12,3.37,97.68,2,6.0
ecommerce,31,mobile,A,8.65,9.12,1.98,2.5,139.46,1,7.96
ecommerce,32,mobile,A,8.2,8.07,2.32,2.17,148.65,2,6.4
ecommerce,33,desktop,B,5.65,5.11,2.37,2.78,205.55,2,9.13
ecommerce,34,mobile,B,10.24,9.35,1.62,2.52,135.04,4,8.06
ecommerce,35,desktop,B,7.19,6.58,3.31,4.36,165.1,7,6.66
ecommerce,36,mobile,A,10.37,10.76,1.92,1.45,120.64,1,8.8
ecommerce,37,mobile,B,7.4,6.4,2.87,2.71,201.59,5,7.95
ecommerce,38,mobile,A,6.81,6.44,3.16,2.59,156.87,1,8.07
ecommerce,39,mobile,A,7.68,7.1,1.79,1.3,89.56,6,6.5
ecommerce,40,mobile,A,10.42,10.38,2.04,1.9,141.17,4,9.01
ecommerce,41,mobile,B,8.73,8.41,3.69,4.24,143.87,4,8.84
ecommerce,42,desktop,A,7.46,8.03,2.82,3.08,230.91,1,5.21
ecommerce,43,mobile,B,6.48,5.08,3.21,3.61,148.86,1,7.48
ecommerce,44,desktop,A,8.0,8.05,2.21,1.95,177.34,2,8.37
ecommerce,45,desktop,A,5.8,5.03,2.35,2.5,154.0,2,5.77
ecommerce,46,desktop,A,7.89,7.99,2.31,2.22,180.6,5,7.35
ecommerce,47,desktop,B,7.58,6.58,3.01,3.98,178.24,6,6.87
ecommerce,48,mobile,B,8.67,7.91,2.58,3.03,124.19,2,7.92
